Wl,2000,3000,4000,5000,6000,7000,8000
380,5.16E-05,1.74E-05,4.45E-05,3.07E-05,2.45E-05,6.24E-05,3.09E-05
385,0.00012731,6.10E-05,0.00019153,0.00014523,0.00013215,0.00028794,0.00016363
390,6.01E-05,0.00023857,0.00071181,0.00051854,0.00047774,0.0010279,0.00058945
395,0.00020032,0.00069402,0.0021088,0.0015103,0.0014281,0.0029839,0.0017536
400,8.59E-05,0.001618,0.0057025,0.0043159,0.004098,0.0085994,0.0050577
405,0.00010949,0.0040011,0.014561,0.0112,0.010656,0.022397,0.013168
410,0.00031004,0.0079137,0.028839,0.022532,0.021397,0.045021,0.026429
415,0.00089184,0.013535,0.048442,0.038195,0.036068,0.0762,0.044545
420,0.0015705,0.017369,0.05939,0.047241,0.044046,0.093879,0.05439
425,0.0024857,0.014625,0.044068,0.035932,0.032204,0.070526,0.039747
430,0.0037222,0.011913,0.027533,0.023679,0.019224,0.045222,0.023716
435,0.0050295,0.011112,0.017923,0.016907,0.011405,0.030901,0.014076
440,0.0062584,0.011277,0.011623,0.01279,0.0060728,0.021819,0.0074951
445,0.0069763,0.010961,0.008194,0.010359,0.0032879,0.016676,0.0040577
450,0.0058547,0.0081323,0.0054281,0.007221,0.0018641,0.011354,0.0022967
455,0.0035038,0.0043935,0.0030025,0.0039328,0.0010467,0.0062047,0.0012901
460,0.0022724,0.0025868,0.0018203,0.0022683,0.00060715,0.003586,0.00074586
465,0.0016358,0.0016393,0.0011229,0.0014392,0.00036702,0.0022535,0.00044855
470,0.0012794,0.0011321,0.0008213,0.00096536,0.00023772,0.0015267,0.00029135
475,0.0012338,0.00096382,0.00079895,0.0008134,0.00023648,0.0012984,0.00028216
480,0.0013995,0.00097261,0.00091279,0.00081604,0.00027729,0.0012956,0.00031744
485,0.0017811,0.0011629,0.0013004,0.0010353,0.00044444,0.0016561,0.00049719
490,0.0026702,0.0016763,0.0021426,0.0015879,0.00080034,0.002577,0.0008923
495,0.0042045,0.0026376,0.0035698,0.0025709,0.0013945,0.0041396,0.0015346
500,0.0065364,0.0041949,0.0059928,0.0041507,0.0023995,0.0067112,0.0026328
505,0.0098022,0.0062637,0.0094761,0.0062833,0.0037971,0.010317,0.0041828
510,0.013142,0.0081623,0.013087,0.0083679,0.005175,0.014045,0.0057467
515,0.016519,0.01012,0.016789,0.010414,0.0065121,0.017779,0.0072774
520,0.018889,0.011671,0.019343,0.012028,0.0075341,0.020493,0.0084108
525,0.02012,0.01276,0.020446,0.01309,0.0081515,0.021888,0.0090297
530,0.020482,0.013549,0.020458,0.01389,0.0086106,0.022408,0.0094024
535,0.020108,0.014003,0.019495,0.014289,0.0087791,0.021995,0.0094062
540,0.019437,0.014282,0.01815,0.014546,0.0088731,0.02125,0.0093125
545,0.018686,0.014435,0.016823,0.014595,0.0088436,0.020327,0.0091067
550,0.018059,0.014408,0.015606,0.014552,0.0087719,0.019476,0.0088951
